source_bot,v1_pred_actions,v1_pm4py_fitness,v1_pm4py_precision,v1_worf_precision,v1_worf_recall,v1_worf_f1,v1_status,v2_pred_actions,v2_pm4py_fitness,v2_pm4py_precision,v2_worf_precision,v2_worf_recall,v2_worf_f1,v2_status
0374_createprojectinjirausingapi,10,0.0,0.0,0.1,0.0588,0.0741,ok,15,0.0,0.0,0.2667,0.2353,0.25,ok
0419_sendbulkemailswithtemplate,13,0.0,0.0,0.0769,0.02,0.0317,ok,13,0.0,0.0,0.2308,0.06,0.0952,ok
0131_currency-rate---oanda,0,,,0.0,0.0,0.0,no_prediction,20,0.0,0.0,0.15,0.0698,0.0952,ok
0176_global-exchange-currency-rate,9,0.0,0.0,0.2222,0.08,0.1176,ok,16,0.0,0.0,0.25,0.16,0.1951,ok
0393_a2019-twilio-integration,7,0.0,0.0,0.1429,0.0238,0.0408,ok,19,0.0,0.0,0.1053,0.0476,0.0656,ok
0224_extracttablesfrompdftocsv,5,0.0,0.0,0.2,0.0833,0.1176,ok,6,0.0,0.0,0.5,0.25,0.3333,ok
0225_extracttablefromwordtocsv,6,0.0,0.0,0.1667,0.0833,0.1111,ok,9,0.0,0.0,0.3333,0.25,0.2857,ok
0137_sendemailusingsmtp-demo,7,0.0,0.0,0.1429,0.3333,0.2,ok,5,0.0,0.0,0.2,0.3333,0.25,ok
0245_merge-multiple-csv-files,4,0.0,0.0,0.25,0.04,0.069,ok,8,0.0,0.0,0.375,0.12,0.1818,ok
0302_a2019-get-current-exchange-rate,6,0.0,0.0,0.1667,0.0556,0.0833,ok,16,0.0,0.0,0.3125,0.2778,0.2941,ok
0167_outlook-email-notifier,8,0.0,0.0,0.25,0.08,0.1212,ok,14,0.0,0.0,0.2857,0.16,0.2051,ok
0338_lettergenerationbot,0,,,0.0,0.0,0.0,no_prediction,17,0.0,0.0,0.4118,0.0833,0.1386,ok
0410_a2019-invoicely-assistant,9,0.0,0.0,0.1111,0.0333,0.0513,ok,14,0.0,0.0,0.0714,0.0333,0.0455,ok
