count,gold,prediction
7,String.stringPackageAssignAction,Dictionary.dictionaryPut
6,Folder.folderCreate,JSON utilities.jsonGetNodeValue
5,DLL.dllPackageCloseAction,
4,String.stringPackageAssignAction,Prompt.promptForValue
4,Folder.folderCreate,
4,Recorder.capture,Browser.browserPackageRunJavascriptAction
3,String.stringPackageAssignAction,File.filePackageCreateAction
3,String.stringPackageAssignAction,Folder.folderCreate
3,MessageBox.messageBox,Message box.usingMessageBoxAction
3,String.stringPackageAssignAction,Message box.usingMessageBoxAction
2,MessageBox.messageBox,Task Bot.taskBotPackageStopAction
2,TaskBot.stopTask,Folder.folderCreate
2,String.stringPackageAssignAction,Datetime.getActionInDatetime
2,String.stringPackageAssignAction,Microsoft 365 Excel package in Automation 360.usingOpenWorkbookAction
2,LogToFile.logToFile,Message box.usingMessageBoxAction
2,String.stringPackageAssignAction,Browser.launchWebsite
2,Dictionary.dictionaryPut,Application.applicationPackageOpenProgramFileAction
2,DLL.dllPackageOpenAction,Message box.usingMessageBoxAction
2,MessageBox.messageBox,
2,String.stringPackageAssignAction,JSON utilities.jsonValidate
2,XML.getSingleNode,XML.xmlGetSingleNode
2,String.stringPackageAssignAction,Task Bot.taskBotPackageStopAction
1,String.stringPackageAssignAction,If.ifPackageElseIfOptionalAction
1,String.stringPackageAssignAction,Microsoft 365 Excel package in Automation 360.getWorksheetAsDataTableIn
1,Folder.folderCreate,Error handler.errorHandlerCatch
1,Folder.folderCreate,Error handler.errorHandlerFinally
1,Folder.folderCreate,Browser.launchWebsite
1,Folder.folderCreate,Prompt.promptForValue
1,Datetime.cloudConvertDatetimeToString,Microsoft 365 Excel package in Automation 360.office365ExcelSetCell
1,DLL.dllPackageOpenAction,Email.cloudUsingSendAction
1,DLL.Run function,Error handler.errorHandlerCatch
1,DLL.dllPackageCloseAction,Email.emailDisconnectAction
1,String.stringPackageAssignAction,Excel advanced.cloudExcelOpen
1,String.stringPackageAssignAction,Error handler.errorHandlerCatch
1,String.stringPackageAssignAction,Error handler.errorHandlerFinally
1,Datetime.cloudConvertDatetimeToString,Excel advanced.excelAdvancedPackageGetSingleCellAction
1,Folder.folderCreate,Excel advanced.excelAdvancedPackageGetSingleCellAction
1,Folder.folderCreate,Microsoft 365 Outlook.ms365OutlookSaveAllAttachments
1,File.filePackageCreateAction,Microsoft 365 Outlook.ms365OutlookSaveAllAttachments
1,Folder.folderCreate,Data Table.cloudWriteToFileAction
1,Excel advanced.cloudExcelOpen,Excel advanced.excelAdvancedPackageCloseAction
1,String.stringPackageAssignAction,Logging.cloudInsertingLogToFileCommand
1,Datetime.cloudConvertDatetimeToString,Browser.browserPackageRunJavascriptAction
1,Folder.folderCreate,CSV/TXT.cloudOpeningCsvTextFile
1,Folder.folderCreate,Data Table.dataTablePackageSetValueSinlgeCellAction
1,File.filePackageCreateAction,Data Table.cloudWriteToFileAction
1,LogToFile.logToFile,Number.numberIncrement
1,Folder.folderCreate,Logging.cloudInsertingLogToFileCommand
1,Browser.launchWebsite,Logging.cloudInsertingLogToFileCommand
1,DLL.dllPackageOpenAction,Browser.browserPackageCloseAction
1,DLL.Run function,
1,Dictionary.dictionaryPut,Python Script.pythonOpenAction
1,DLL.dllPackageOpenAction,Word.mswordReadTable
1,DLL.dllPackageOpenAction,Data Table.cloudWriteToFileAction
1,DLL.Run function,Dictionary.dictionaryPut
1,DLL.dllPackageCloseAction,Python Script.pythonCloseAction
1,TaskBot.stopTask,Task Bot.taskBotPackageStopAction
1,String.stringPackageAssignAction,Datetime.cloudUsingAddAction
1,String.stringPackageAssignAction,Prompt.promptForFile
1,Datetime.cloudConvertDatetimeToString,
1,System.systemInformation,System.usingTheGetEnvironmentVariableAction
1,Dictionary.dictionaryPut,Message box.usingMessageBoxAction
1,DLL.dllPackageOpenAction,Number.numberToString
1,DLL.Run function,Window.windowClose
1,String.stringPackageAssignAction,JSON utilities.jsonStartSession
1,Folder.folderCreate,List.listSize
1,Folder.folderCreate,Word.mswordOpenDocument
1,Datetime.cloudConvertDatetimeToString,Word.mswordInsertText
1,XML.startSession,XML.xmlStartSession
1,XML.getSingleNode,Microsoft 365 Outlook.ms365OutlookSaveAllAttachments
1,XML.endSession,Microsoft 365 Outlook.ms365OutlookDisconnect
1,Email.emailConnect,Excel advanced.cloudExcelOpen
1,Email.emailSaveAttachmentAction,Excel advanced.excelAdvancedPackageReadRowAction
1,Email.closeEmail,Jira.jiraCreateIssue
1,Excel advanced.cloudExcelOpen,JSON utilities.jsonStartSession
1,Excel_MS.GetMultipleCells,JSON utilities.convertJsonToDictionary
1,String.stringPackageAssignAction,Excel advanced.excelAdvancedPackageCloseAction
1,MessageBox.messageBox,Datetime.getActionInDatetime
1,TaskBot.stopTask,Folder.cloudZipFilesAndFolders
1,String.stringPackageAssignAction,REST Web Services.cloudUsingGetAction
1,Datetime.cloudConvertDatetimeToString,String.stringPackageAssignAction
1,Datetime.usingSubtractAction,Data Table.cloudWriteToFileAction
1,Recorder.capture,Wait.waitPackageWaitForConditionAction
1,Recorder.capture,Excel advanced.cloudExcelOpen
1,Recorder.capture,Excel advanced.excelAdvancedGetWorksheetAsDataTable
1,Folder.folderCreate,Browser.browserPackageRunJavascriptAction
1,MessageBox.messageBox,Data Table.cloudWriteToFileAction
1,LogToFile.logToFile,Excel advanced.excelAdvancedPackageCloseAction
1,Excel advanced.cloudExcelOpen,Browser.browserPackageCloseAction
1,MessageBox.messageBox,File.filePackageCopyControlRoomFileAction
1,TaskBot.stopTask,File.filePackageCreateAction
1,String.stringPackageAssignAction,Datetime.usingSubtractAction
1,Folder.folderCreate,Microsoft 365 Excel package in Automation 360.getWorksheetAsDataTableIn
1,Folder.folderCreate,Email.cloudUsingSendAction
1,Folder.folderCreate,Microsoft 365 Excel package in Automation 360.writeFromDataTableIn
1,Folder.folderCreate,File.filePackageCopyControlRoomFileAction
1,Datetime.cloudConvertDatetimeToString,Logging.cloudInsertingLogToFileCommand
