count,action
65,String.stringPackageAssignAction
43,Recorder.capture
29,MessageBox.messageBox
29,Folder.folderCreate
21,LogToFile.logToFile
20,Datetime.cloudConvertDatetimeToString
13,File.cloudDeletingFile
13,JSONHandler.Query
11,Number.toString
8,DLL.dllPackageOpenAction
8,DLL.dllPackageCloseAction
7,TaskBot.stopTask
6,Screen.screenCaptureDesktop
6,String.cloudUsingReplaceAction
6,Number.numberAssign
5,Datetime.usingSubtractAction
5,WebAutomation.sendkeys
5,Excel advanced.excelAdvancedPackageSetCellAction
5,File.filePackageCreateAction
5,DLL.Run function
4,Excel advanced.cloudExcelOpen
4,Excel_MS.GoToCell
4,File.downloadTo
4,List.listAddItem
4,MSWordPackage.Bookmark
3,Excel advanced.excelAdvancedPackageReadRowAction
3,XML.getSingleNode
2,WebAutomation.isloaded
2,Delay.delayDelay
2,WebAutomation.clickelement
2,WebAutomation.elementloaded
2,Email.emailConnect
2,Email.closeEmail
2,Boolean.booleanAssign
2,JSONHandler.Initialize
2,File.copyFiles
2,Word.mswordFindAndReplaceText
2,Excel advanced.excelAdvancedPackageGetMultipleCellsAction
2,Excel.SaveSpreadSheet
1,WebAutomation.getvalueselement
1,Excel advanced.excelAdvancedPackageCloseAction
1,System.systemInformation
1,Rest.restGet
1,String.stringPackageToNumberAction
1,Browser.downloadFile
1,List.listSize
1,XML.startSession
1,XML.endSession
1,Email.emailSaveAttachmentAction
1,Excel_MS.GetMultipleCells
1,Rest.restPost
1,Twilio.Send SMS from Twilio
1,Twilio.Place a call from Twilio
1,JSONHandler.Set
1,Number.numberIncrement
