case_id,run_id,gold_actions,pred_actions,action_seq_f1,action_bag_f1,canonical_seq_f1,canonical_bag_f1,package_bag_f1,package_family_f1,salient_family_f1,edge_f1,canonical_edge_f1,worfbench_node_f1,worfbench_edge_f1,report
03_0131_currency-rate---oanda,runner_v2_batch_20260716_13pdfs__01_0131_currency-rate---oanda,45,16,0.0,0.0,0.06557377049180328,0.06557377049180328,0.06557377049180328,0.1639344262295082,0.11764705882352941,0.0,0.0,0.0,0.5423728813559321,scripts\goldset\evaluation\reports\runner_v2_batch_20260716_13pdfs__01_0131_currency-rate---oanda\03_0131_currency-rate---oanda\evaluation.json
08_0137_sendemailusingsmtp-demo,runner_v2_batch_20260716_13pdfs__02_0137_sendemailusingsmtp-demo,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,scripts\goldset\evaluation\reports\runner_v2_batch_20260716_13pdfs__02_0137_sendemailusingsmtp-demo\08_0137_sendemailusingsmtp-demo\evaluation.json
11_0167_outlook-email-notifier,runner_v2_batch_20260716_probe03__01_0167_outlook-email-notifier,24,13,0.0,0.0,0.16216216216216217,0.21621621621621623,0.10810810810810811,0.32432432432432434,0.4444444444444444,0.0,0.0,0.0,0.6842105263157894,scripts\goldset\evaluation\reports\runner_v2_batch_20260716_probe03__01_0167_outlook-email-notifier\11_0167_outlook-email-notifier\evaluation.json
04_0176_global-exchange-currency-rate,runner_v2_batch_20260716_13pdfs_resume04__01_0176_global-exchange-currency-rate,24,13,0.0,0.0,0.2702702702702703,0.2702702702702703,0.2702702702702703,0.3783783783783784,0.14285714285714288,0.0,0.05128205128205128,0.0,0.6842105263157894,scripts\goldset\evaluation\reports\runner_v2_batch_20260716_13pdfs_resume04__01_0176_global-exchange-currency-rate\04_0176_global-exchange-currency-rate\evaluation.json
06_0224_extracttablesfrompdftocsv,runner_v2_batch_20260716_13pdfs_resume04__02_0224_extracttablesfrompdftocsv,10,6,0.0,0.0,0.25,0.25,0.25,0.25,0.30769230769230765,0.0,0.1111111111111111,0.0,0.6666666666666665,scripts\goldset\evaluation\reports\runner_v2_batch_20260716_13pdfs_resume04__02_0224_extracttablesfrompdftocsv\06_0224_extracttablesfrompdftocsv\evaluation.json
07_0225_extracttablefromwordtocsv,runner_v2_batch_20260716_13pdfs_resume04__03_0225_extracttablefromwordtocsv,10,9,0.0,0.0,0.2105263157894737,0.2105263157894737,0.2105263157894737,0.2105263157894737,0.25,0.0,0.09523809523809525,0.0,0.8571428571428572,scripts\goldset\evaluation\reports\runner_v2_batch_20260716_13pdfs_resume04__03_0225_extracttablefromwordtocsv\07_0225_extracttablefromwordtocsv\evaluation.json
09_0245_merge-multiple-csv-files,runner_v2_batch_20260716_13pdfs_resume04__04_0245_merge-multiple-csv-files,29,7,0.0,0.0,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.43750000000000006,scripts\goldset\evaluation\reports\runner_v2_batch_20260716_13pdfs_resume04__04_0245_merge-multiple-csv-files\09_0245_merge-multiple-csv-files\evaluation.json
10_0302_a2019-get-current-exchange-rate,runner_v2_batch_20260716_13pdfs_resume04__05_0302_a2019-get-current-exchange-rate,18,13,0.0,0.0,0.3870967741935484,0.3870967741935484,0.5161290322580646,0.5161290322580646,0.5,0.0,0.24242424242424243,0.0,0.8387096774193549,scripts\goldset\evaluation\reports\runner_v2_batch_20260716_13pdfs_resume04__05_0302_a2019-get-current-exchange-rate\10_0302_a2019-get-current-exchange-rate\evaluation.json
12_0338_lettergenerationbot,runner_v2_batch_20260716_13pdfs_resume04__06_0338_lettergenerationbot,98,16,0.017543859649122806,0.017543859649122806,0.07017543859649122,0.07017543859649122,0.07017543859649122,0.07017543859649122,0.11764705882352941,0.0,0.0,0.020408163265306124,0.32,scripts\goldset\evaluation\reports\runner_v2_batch_20260716_13pdfs_resume04__06_0338_lettergenerationbot\12_0338_lettergenerationbot\evaluation.json
01_0374_createprojectinjirausingapi,runner_v2_batch_20260716_13pdfs_resume04__07_0374_createprojectinjirausingapi,17,12,0.0,0.0,0.13793103448275862,0.13793103448275862,0.20689655172413793,0.41379310344827586,0.5,0.0,0.0,0.0,0.8275862068965517,scripts\goldset\evaluation\reports\runner_v2_batch_20260716_13pdfs_resume04__07_0374_createprojectinjirausingapi\01_0374_createprojectinjirausingapi\evaluation.json
05_0393_a2019-twilio-integration,runner_v2_batch_20260716_13pdfs_resume04__08_0393_a2019-twilio-integration,47,16,0.0,0.0,0.06349206349206349,0.06349206349206349,0.15873015873015872,0.15873015873015872,0.0,0.0,0.0,0.0,0.5517241379310345,scripts\goldset\evaluation\reports\runner_v2_batch_20260716_13pdfs_resume04__08_0393_a2019-twilio-integration\05_0393_a2019-twilio-integration\evaluation.json
13_0410_a2019-invoicely-assistant,runner_v2_batch_20260716_13pdfs_resume04__09_0410_a2019-invoicely-assistant,31,13,0.0,0.0,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.09090909090909091,0.1,0.0,0.043478260869565216,0.0,0.6046511627906977,scripts\goldset\evaluation\reports\runner_v2_batch_20260716_13pdfs_resume04__09_0410_a2019-invoicely-assistant\13_0410_a2019-invoicely-assistant\evaluation.json
02_0419_sendbulkemailswithtemplate,runner_v2_batch_20260716_13pdfs_resume04__10_0419_sendbulkemailswithtemplate,55,13,0.0,0.0,0.0588235294117647,0.08823529411764705,0.1764705882352941,0.20588235294117643,0.125,0.0,0.0,0.0,0.4126984126984127,scripts\goldset\evaluation\reports\runner_v2_batch_20260716_13pdfs_resume04__10_0419_sendbulkemailswithtemplate\02_0419_sendbulkemailswithtemplate\evaluation.json
