source_bot,pred_actions,pm4py_fitness,pm4py_precision,worfbench_precision,worfbench_recall,worfbench_f1,pm4py_status,worfbench_status
0374_createprojectinjirausingapi,15,0.0,0.0,0.2667,0.2353,0.25,ok,ok
0419_sendbulkemailswithtemplate,13,0.0,0.0,0.2308,0.06,0.0952,ok,ok
0131_currency-rate---oanda,20,0.0,0.0,0.15,0.0698,0.0952,ok,ok
0176_global-exchange-currency-rate,16,0.0,0.0,0.25,0.16,0.1951,ok,ok
0393_a2019-twilio-integration,19,0.0,0.0,0.1053,0.0476,0.0656,ok,ok
0224_extracttablesfrompdftocsv,6,0.0,0.0,0.5,0.25,0.3333,ok,ok
0225_extracttablefromwordtocsv,9,0.0,0.0,0.3333,0.25,0.2857,ok,ok
0137_sendemailusingsmtp-demo,5,0.0,0.0,0.2,0.3333,0.25,ok,ok
0245_merge-multiple-csv-files,8,0.0,0.0,0.375,0.12,0.1818,ok,ok
0302_a2019-get-current-exchange-rate,16,0.0,0.0,0.3125,0.2778,0.2941,ok,ok
0167_outlook-email-notifier,14,0.0,0.0,0.2857,0.16,0.2051,ok,ok
0338_lettergenerationbot,17,0.0,0.0,0.4118,0.0833,0.1386,ok,ok
0410_a2019-invoicely-assistant,14,0.0,0.0,0.0714,0.0333,0.0455,ok,ok
